text,category,target,source
"ফারজানায় থেকে আমাকে পরিষ্কার ব্যৈচিত্র্য ধরেছি। অনুষ্ঠানটি শনিবার ৩য় শেষবর্তী সময়ে হবে, তাই আমি অনুষ্ঠানকের জন্য জড়িত হব।

কিভাবে আপনি শু",primary,0,synthetic
"ধামাকা অফার! সহজ প্রশ্নের উত্তর দিয়ে জিতে নিন ৩০,০০০ টাকার স্মার্টফোন Realme GT Neo3, ডায়াল করুন *213*44551#, মাত্র ৳২.৬৭/দিন/প্রশ্ন",important,3,real
"চেতনা সংকল্পনাটি জনপ্রিয় এবং সুবিধাজনক থাকা উচিত। নতুন অফিসের ম্যানেজার, রনির জন্য একটি প্রস্তাব দেওয়ার জন্য আমি এটি লিখছি:

---

ভাই/বোধি,

অফিসের ম",primary,0,synthetic
"ন্যাশনাল লাইফ ইন্সুরেন্স কোম্পানি  লিমিটেড, নিশ্চিত ভবিষ্যতের সুদয় সাথি।",promotions,4,real
"হাই ইব্রাহিম,আমি আপনার সাথে আসন্ন Nvidia-এর GTC 2022 সম্মেলনের জন্য আমার সেরা 3 টি বাছাই শেয়ার করতে পেরে উত্তেজিত। এই বছরের সম্মেলন উত্তেজনাপূর্ণ ঘোষণা এবং অত্যাধুনিক প্রযুক্তি প্রদর্শনে পরিপূর্ণ হবে নিশ্চিত। এছাড়াও, রেজিস্ট্রেশন করে কনফারেন্সে যোগ দিয়ে আপনি একটি একেবারে নতুন 3080 TI গ্রাফিক্স কার্ড জেতার সুযোগ পেতে পারেন।",primary,0,real
"ভুক্ত হওয়ার জন্য সিটিতে কিনলে ফ্রি, Bata's উইন্টার সেল লাভ করুন! শীঘ্রই বাজেত, এখনরা খুবই ছোট। ☕❄️",promotions,4,synthetic
"আপনি আগামি ৪ জুন ২০২২ তারিখে ইউজিভি ক্যাম্পাসে অনুষ্ঠিত ফাইনাল কন্টেস্টের জন্য নির্বাচিত হয়েছেন ! উক্ত ফাইনাল কন্টেস্টে অংশগ্রহণ করতে হলে আপনাকে অবশ্যই ৩১ জুন ২০২২ রাত ১০ টার মধ্যে পুনরায় রেজিস্ট্রেশন করতে হবে। অন্যথায় আপনি ফাইনাল কন্টেস্টে অংশগ্রহণ করতে পারবেন না। কোন রেজিস্ট্রেশন ফি দিতে হবে না।

Registration link : https://docs.google.com/forms/d/1cQ3stbmzNvAczQ4PZfuWRvEAhiCM6FzvKpdl3ZBzj08/edit",updates,2,real
এই টিপস দিয়ে শক্তিশালী সেমিস্টার শুরু করুন,promotions,4,real
শেষ সুযোগ! ৩০-জুন এর মধ্যে বোনাস সহ ১৫জিবি-১৬০টাকা-৩০দিন। ডায়াল ১২১৫১৯৫# বা ভিজিট mygp.li/mo,spam,1,real
কোডসেফ থেকে এই সমস্যাটি সমাধান করুন,updates,2,real
"scheme: লটারি জেতা · lure: বিশ্বাসী মানুষের কাছে শুধুমাত্র হিসেব

Subject: 🎉আপনার নতুন লটারি জিতেছে! 🌟

প্রিয়মেন্ট,

আসলেই অন্ধকারে, আপনার জীবনকে আরও উজ্জ্বল কর",spam,1,synthetic
"ভাই মেহেদীর দিকে,

শান্তি থাকুন,
আমি খুলনায়।

বুঝতে পেরিয়েছি, আমার বোনের বিশ্বব্যাপী উপসাগরীয় ট্রেডিং স্পর্শকের অফারটি ১ দিনের মধ্যে শেষ হয",primary,0,synthetic
5 জিবি ইন্টারনেট 50 টাকা অফার জানতে ডায়াল করুন,primary,0,real
"স্বাগতিক আসিবেন আমাকে রনির অফিসের ম্যানেজার ছেদনা, আমার কথা শুনেছেন। আমি তাঁকে একটি প্রস্তাব করতে চাই।

আশা করছি, ""কার্ড থেকে বিকাশ""এর ""১৬""টা ১,৫৯",primary,0,synthetic
চলন্ত বাসে ডাকাতি ও ধর্ষণের ঘটনায় আরও দুই আসামির জবানবন্দি,updates,2,real
ফায়ার সার্ভিসের সেবা গ্রহণের জন্য হটলাইন ১৬১৬৩ নম্বরে কল করুন’’,promotions,4,real
"শুভ সকাল স্যার ,বরিশাল টপ টেন ।",primary,0,real
"নতুন ভর্তির ফলাফল, সেইসাথে আপনার মতো কিছু উপযোগী কর্মসূচির যোগাযোগ। ভর্তির ফলাফল ২০ সেপ্টেম্বর ২০২১ ১০:৩০টা (বিমান)। কর্মসংস্থার আপনার অফিসে এখনই লগইন করতে।

টিউশন্স, ;ড়ামা, ;বাঁধাবাঁধি, ;বিজ্ঞান, ;পদ্ধতি, ;চিকিৎসা ,এইভাবে, আপন",important,3,synthetic
90% ছাড়  মিস করবেন না!,spam,1,real
"শাওনের প্রিয়,

অনুষ্ঠানটি আমার জন্য ভালোবাসি, তবে আমি সেই অনুষ্ঠানের কোনো শুভ জন্মের বিষয়টি স্পষ্টভাবে বিশেষণপূর্বভাবে জানতেন।

অতএব,
পৃথিবী",primary,0,synthetic
"আকাশ স্মিথ কথোপকথনে একটি বার্তা পাঠিয়েছে ""দুর্জয় (বি)।""",social,5,real
"সাকিব দাদামিরী,
ধন্যবাদ জানানো করছি। ১৩ আগস্ট সপ্তাহের শেষ মহেন্দ্র শিক্ষা পরিভ্রমণের জন্য, আমার নিকটে একটি পরবর্তী সময়েই (জুলাই ২৪) আপনার বিষ",primary,0,synthetic
পরবর্তী ট্রেনিং সেশনগুলো আপনার জন্য!,promotions,4,real
"বোন দয়ার কথা,

আজ আপনার জুতা পছন্দ হলে সকল টাকা ২৫% উপভোগের উদ্যোগ!

স্টকটি শেষের আগে, আপনারই অনুগ্রহে।

#YellowJoints2023

যদি বাস্তবতায় খুশি হয়, 25JST",promotions,4,synthetic
"relation: পুরোনো ক্লাসমেট · intent: প্রস্তাব · name: মেহেদী · place: খুলনা

মেহেদী,

আজ আমার একটি প্রস্তাব আছে, সবচেয়ে শ্রেয়াসীর জন্য।

খুলনার পরিবারের মধ্যে ৫টি ৩টি",primary,0,synthetic
"ভাই সাহেব,

আজ আপনার শীঘ্রই জানতে হবে—Le Reve জুতা কালেকশনের আমির বিবরণ।

লাভজনক ভাব্যা:

- ৫০০ টাকা ক্যাশব্যাক!
- কম্পিউটিং ১২ইয়েপেট্।
- তৈরির ক্ষেত",promotions,4,synthetic
২৩. দারাজ যাচাইকরণ কোড 629532 ৫ মিনিটের মধ্যে বিলুপ্ত হবে৷,spam,1,real
"স্মৃতিপুঞ্জ হল আপনার বছরের রেস্টোরেন্টের মার্কিন বাসিন্দা। এই প্রতীক্ষায় থাকা লোকদের জন্য, এখনই ৫০% ছাড়। অফাস্ট করা, ১০০% দিতেই হবে!

ব",spam,1,synthetic
ডেলিভারিম্যান এর সাথে ভালো আচরণ করুন।,important,3,real
"Tamanna091, এই ডেটা সায়েন্স, এক্সেল এবং পাইথন প্রকল্পগুলি আপনার আগ্রহের হতে পারে",updates,2,real
"স্যার,

এখন মনে হচ্ছে আমি একজন প্রধানমন্ত্রী ফ্যাকল্যাট লোকেশনের তানভীর। মুহ",social,5,synthetic
"চাকরির নিয়োগপত্র প্রেরণা করতে হলে

নেটওয়ার্কিং ইউনিটে,
লেভেল-3 ডিপার্টমেন্ট
Google
স্বাগতমক,

আপনার মনোনীত হওয়ার জন্য আমাদের আপনার সাথেই

সংস্থান করা চাই ।

আমরা [অনুস্মারক] 3456-0987 [বিভিন্ন]য়ঙ্গকে [অনুস্মারক] 010-23456789 [অনুসমারক]",important,3,synthetic
"নতুন ইমেইল:

স্বাক্ষরণঃ আমি লেখা এই ইমেইলটি আমার সাধারণ বাণিজ্যিক মূল্যায়নের",social,5,synthetic
"স্যার/স্যারি,

এখন আমি একটি কথা শোনাই চাইন ""এইচর্ড"" ইমানুয়েল।

আমার সেই প্রশ্নট",social,5,synthetic
কীরথি সুরেশ টুইট করেছেন: থিঙ্ক পিঙ্ক 💞,social,5,real
"মো, আপনার আগস্টের আপডেট",updates,2,real
একটি স্ট্যান্ড-আউট সামাজিক পোস্টের রহস্য? ক্যানভা একটি সফল সামাজিক পোস্টের পিছনে বিজ্ঞান,promotions,4,real
"সহজ সুযোগ স্মার্টফোন জিতার! সহজ প্রশ্নের উত্তর দিয়ে জিতে নিন ৩০,৯৯৯ টাকার স্মার্টফোন Redmi Note 10 Pro MAX, Super AMOLED Touchscreen,ডায়াল করুন *213*66554#, মাত্র ৳২.৬৭/দিন/প্রশ্ন",promotions,4,real
pandamart এর Tk 125 ডিসকাউন্ট শেষ হওয়ার আগে অর্ডার করুন!,promotions,4,real
"হ্যালো, আপনাদের জন্য নিয়ে আসলাম ধামাকা অফার। 
১ আগস্ট থেকে ৫ আগস্ট এর মধ্যে আমাদের সাবস্ক্রিপশন চালু করলেই পাবেন ৬৫% পর্যন্ত ছাড়",spam,1,real
"FPBKASH70 ব্যবহার করে উপভোগ করুন ৪০% ছাড় ৭০ টাকা পর্যন্ত, ১৩০ টাকার রেস্টুরেন্ট অর্ডারে",spam,1,real
"ধন্যবাদ দেখা দিয়েছেন। নতুন বাংলা ইমেইল:

নতুন আপনার পোষা প্রাণীদের স্বাস্থ্য মন্তব্যের জন্য!

আমরা আপনার ২০% ছাড়কে মৌজা পেয়েছি! 🐾

ছাড়: ২",promotions,4,synthetic
এই ঈদে যেকোনো জায়গায় যেকোনো সময় আপনার বাংলালিংক নম্বরে নগদ থেকে রিচার্জ করুন। ভিজিট- onelink.to/nagadapp অথবা ডায়াল *১৬৭#,promotions,4,real
"আপনার ব্যাঙ্ক কার্ড দিয়ে Takeout, Cheez, KFC বা Burger King থেকে আপনার প্রিয় খাবার উপভোগ করুন!",promotions,4,real
"scheme: বিনামূল্যে আইফোন · lure: ৫০ লক্ষ টাকা · urgency: দ্রুত

ধন্যবাদের বিনামূল্যে আইফোন 13 Pro Max নিজেদের বাড়িতে কাজ করবে! এখনই *223*4965# চার্জ ৩২০০ টাকা। অন",spam,1,synthetic
"আসুন আমরা আগামীকাল শেষ হবে এই চুক্তিটি দখল করুন। Daraz অ্যাকাউন্টের ব্যালেন্স ১,২৫০ টাকা। দিনটি তার পরবর্তীকালেই জমা হবে, তা জানতে হবে!",updates,2,synthetic
মোনার্ক মার্ট অ্যাপটি অন্যকে শেয়ার করলে আপনি পাচ্ছেন পয়েন্ট জেতার সুযোগ।,updates,2,real
"বাপ্পি আহমেদ
কথোপকথন পাঠিয়েছেন, নতুন ফ্রেন্ড রিকোয়েস্ট। দরজা খোলুন, মিন",social,5,synthetic
একটি সম্পূর্ণ ওয়েব ডেভ লার্নিংয়ের জন্য নিজেকে একটি পাস পান,promotions,4,real
ভাই রিয়ার আছেন ঢাকায়? কোনটা গেয়েই বলুন। আমি তাকে দেখতে চাই।,primary,0,synthetic
"scheme: ভুয়া ব্যাংক রিফান্ড · lure: বিশাল ক্যাশব্যাক · urgency: ২৪ ঘণ্টার মধ্যে

শহরের জনগণের জন্য, প্রকৃতির মাধবের ১০টি সুন্দর উপস্থিতি। ২৪ ঘণ্টা ভিজিট করলে,",spam,1,synthetic
platform: TikTok · action: প্রোফাইলে খুব জনপ্রিয় সংগীত ফেরত দেয়ার মধ্যে আছে একটি পুস্তকাল,social,5,synthetic
"নতুন ইমেইল:

নিচের তথ্য শুধুমাত্র একটি নতুন বিজ্ঞাপন এবং যার জন্য আপনার উপস্থিতির প্রয়াস।

আপনার ভবিষ্যবিদ NID : 21234567890
আর্টিফিসিয়াল ইნটারপেশনের (এইচ.এল.ও.) - ৩য় ক্লাস, ২৬শে সেপ্টেম্বর, ২:৩০
এখনো নির্ধারণকৃত।

topic: NID বিজ্ঞাপন · org:",important,3,synthetic
"মোঃ ফয়সাল গ্রুপ কথোপকথনে একটি বার্তা পাঠিয়েছেন ""🌀সিত্রাং আপডেট বরগুনা জেলা 🌀""।",social,5,real
একজন বন্ধু চায় আপনি Facebook এ একটি পেজ লাইক করুন,social,5,real
"অফিসের ম্যানেজার রিয়াকে হতবাক,

মনে রেখেছি আপনি আমাকে আদেশ দিয়েছেন দেরির প্রতি দুঃখপূর্বক আমি। অন্যদিনও যদি দুর্দান্তভাবে দেরির সাথে শুভেস্তা।",primary,0,synthetic
লাইফটাইম পাস (অতিরিক্ত 55% ছাড়) অফার 48 ঘন্টার মধ্যে শেষ হয়!,updates,2,real
'Barishal University Students' গ্রুপের জন্য আপনার নতুন জন্মদিন বিজ্ঞাপন এবং ফেসবুকের নতুন পরিস্থিত,social,5,synthetic
বর্গ শামসুল সজীব ওয়াজেদ জয় বরগুনা জেলা পরিষদে যোগদান করতে বলেন,social,5,real
"platform: Instagram · action: একটি কমেন্ট · who: একজন সহকর্মী

সূচনা করছি একজন সহকর্মীকে Instagramে একটি কমেন্ট প",social,5,synthetic
"স্বাস্থ্য অধিদপ্তরের মতো কোনো বীমা দাবি করার জন্য আপনার ধন্যবাদ।

কোডটি গোপনের জন্য আপনাকে ধন্যবাদ।

আমরা এই কোডটি অতিরিক্ত সুয়েজযোগ্যতা পেয়েছি।

টিকেটটি আপনারই হবে, আমরা তাৎক্ষণিকভাবে পরিষেবাসূ净ষ্টরণকেই জানিয়েছি।

আমরা ""কোডটি""",important,3,synthetic
"service: গ্রামীণফোন
event: লেনদেনটি সম্পন্ন হয়েছে
amount: ৳ ৩,৪৯৯
date: ১৫ আগস্ট

বাবা/বাবা,

আজ আমরা এই জন্য একটি খুশি বিবরণ।

মানুষটির কঠিন দিনটি শেষের মতো, আপনার লেনদেনটির জ",updates,2,synthetic
